food_name,diet_tags,mood_tags,allergens,best_time_to_eat,description
Lotus stem kofta curry (Kamal kakdi kofta curry),"Vegan, Vegetarian",Craving,None,Dinner,Lotus stem kofta curry (Kamal kakdi kofta curry) is suitable for a general diet and supports neutral mood.
Raw banana kofta curry (Kela kofta curry),Raw Food,Tired & Anxious,None,Dinner,Raw banana kofta curry (Kela kofta curry) is suitable for a general diet and supports tired & anxious.
Cauliflower kofta curry (Phoolgobhi kofta curry),"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Cauliflower kofta curry (Phoolgobhi kofta curry) is suitable for a general diet and supports neutral mood.
Cabbage kofta curry (Pattagobhi kofta curry),"Vegan, Vegetarian",Stressed,None,Dinner,Cabbage kofta curry (Pattagobhi kofta curry) is suitable for a general diet and supports neutral mood.
Ghiya/Lauki Kofta Curry,"Vegan, Vegetarian",Stressed,None,Dinner,Ghiya/Lauki Kofta Curry is suitable for a general diet and supports neutral mood.
Spinach paneer kofta curry (Palak paneer kofta curry),"Keto, Vegetarian",Happy,Lactose / Dairy,Dinner,"Spinach paneer kofta curry (Palak paneer kofta curry) is suitable for a keto, vegetarian diet and supports neutral mood."
Vegetarian egg kofta curry,"Keto, Vegetarian",Craving,Eggs,Dinner,Vegetarian egg kofta curry is suitable for a keto diet and supports neutral mood.
Baked vegetables,Vegan,Balanced Mood,None,Snack,Baked vegetables is suitable for a vegan diet and supports balanced mood.
Cauliflower musallam (Phoolgobhi musallam),"Vegan, Vegetarian",Happy,None,Breakfast,Cauliflower musallam (Phoolgobhi musallam) is suitable for a general diet and supports neutral mood.
Baked vegetables with spinach ,Vegan,Balanced Mood,None,Dinner,Baked vegetables with spinach  is suitable for a vegan diet and supports balanced mood.
Baked potato with skin ,"Vegan, Vegetarian",Craving,None,Snack,Baked potato with skin  is suitable for a general diet and supports neutral mood.
Shepherd's pie (vegetarian),Vegetarian,Stressed,None,Breakfast,Shepherd's pie (vegetarian) is suitable for a general diet and supports neutral mood.
Baked brinjal in tomato sauce,"Vegan, Vegetarian",Energetic & Calm,None,Snack,Baked brinjal in tomato sauce is suitable for a general diet and supports neutral mood.
Dum aloo,Vegetarian,Depressed Mood,None,Dinner,Dum aloo is suitable for a vegetarian diet and supports neutral mood.
Spinach paneer (Palak paneer),"Keto, Vegetarian",Stressed,Lactose / Dairy,Dinner,"Spinach paneer (Palak paneer) is suitable for a keto, vegetarian diet and supports neutral mood."
Methi chaman,"Vegan, Vegetarian",Stressed,None,Snack,Methi chaman is suitable for a general diet and supports neutral mood.
Sarson ka saag,"Vegan, Vegetarian",Stressed,None,Snack,Sarson ka saag is suitable for a general diet and supports neutral mood.
Jackfruit sabzi (Kathal ki sabzi),Vegan,Depressed Mood,None,"Lunch, Dinner",Jackfruit sabzi (Kathal ki sabzi) is suitable for a vegan diet and supports depressed mood.
Avial,"Vegan, Vegetarian",Depressed Mood,None,Lunch,Avial is suitable for a general diet and supports neutral mood.
Al yakhani,"Vegan, Vegetarian",Happy,None,Lunch,Al yakhani is suitable for a general diet and supports neutral mood.
Shahi paneer,"Keto, Vegetarian",Stressed,Lactose / Dairy,Breakfast,"Shahi paneer is suitable for a keto, vegetarian diet and supports neutral mood."
Paneer in butter sauce,"Keto, Vegetarian",Depressed Mood,Lactose / Dairy,Breakfast,"Paneer in butter sauce is suitable for a keto, vegetarian diet and supports neutral mood."
Methi malai paneer,"Keto, Vegetarian",Stressed,Lactose / Dairy,Dinner,"Methi malai paneer is suitable for a keto, vegetarian diet and supports neutral mood."
Chilli paneer,"Keto, Vegetarian",Energetic & Calm,Lactose / Dairy,Breakfast,"Chilli paneer is suitable for a keto, vegetarian diet and supports neutral mood."
Paneer makhana korma,"Keto, Vegetarian",Happy,Lactose / Dairy,Dinner,"Paneer makhana korma is suitable for a keto, vegetarian diet and supports neutral mood."
Kadhai Paneer,"Keto, Vegetarian",Craving,Lactose / Dairy,Dinner,"Kadhai Paneer is suitable for a keto, vegetarian diet and supports neutral mood."
Roghan josh,"Vegan, Vegetarian",Stressed,None,Snack,Roghan josh is suitable for a general diet and supports neutral mood.
Spinach mutton (Palak mutton),Keto,Energetic & Calm,None,Breakfast,Spinach mutton (Palak mutton) is suitable for a keto diet and supports neutral mood.
Pea keema curry (Matar keema ki sabzi),Vegan,Happy,None,"Lunch, Dinner",Pea keema curry (Matar keema ki sabzi) is suitable for a vegan diet and supports neutral mood.
Keema kofta curry,"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Keema kofta curry is suitable for a general diet and supports neutral mood.
Kashmiri mutton koftas (Gushtaba),Keto,Energetic & Calm,None,Breakfast,Kashmiri mutton koftas (Gushtaba) is suitable for a keto diet and supports neutral mood.
Mutton yakhni,Keto,Happy,None,Lunch,Mutton yakhni is suitable for a keto diet and supports neutral mood.
Chicken yakhni,Keto,Happy,None,Snack,Chicken yakhni is suitable for a keto diet and supports neutral mood.
Mutton do piaza,Keto,Happy,None,Snack,Mutton do piaza is suitable for a keto diet and supports neutral mood.
Mutton chops,Keto,Energetic & Calm,None,Lunch,Mutton chops is suitable for a keto diet and supports neutral mood.
Shammi kebab,"Vegan, Vegetarian",Stressed,None,Snack,Shammi kebab is suitable for a general diet and supports neutral mood.
Scotch egg,Keto,Energetic & Calm,Eggs,Lunch,Scotch egg is suitable for a keto diet and supports neutral mood.
Shepherd's pie (with minced meat),Paleo,Depressed Mood,None,Dinner,Shepherd's pie (with minced meat) is suitable for a general diet and supports neutral mood.
Chicken curry,Keto,Stressed,None,Dinner,Chicken curry is suitable for a keto diet and supports neutral mood.
Tandoori chicken,Keto,Depressed Mood,None,Snack,Tandoori chicken is suitable for a keto diet and supports neutral mood.
Butter chicken,Keto,Happy,Lactose / Dairy,Snack,Butter chicken is suitable for a keto diet and supports neutral mood.
Chicken kebab,Keto,Stressed,None,Breakfast,Chicken kebab is suitable for a keto diet and supports neutral mood.
Chilli chicken,Keto,Craving,None,Lunch,Chilli chicken is suitable for a keto diet and supports neutral mood.
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),Keto,Stressed,None,Breakfast,Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath) is suitable for a keto diet and supports neutral mood.
Fish curry (Machli curry),"Keto, Mediterranean, Pescatarian",Craving,Seafood / Shellfish,Dinner,"Fish curry (Machli curry) is suitable for a keto, pescatarian diet and supports neutral mood."
Fried fish (Indian style) (Tali hui machli),"Keto, Mediterranean, Pescatarian",Energetic & Calm,Seafood / Shellfish,Snack,"Fried fish (Indian style) (Tali hui machli) is suitable for a keto, pescatarian diet and supports neutral mood."
Fried fish and Chips (English Style) (Tali hui machli aur chips),"Keto, Mediterranean, Pescatarian",Craving,Seafood / Shellfish,Snack,"Fried fish and Chips (English Style) (Tali hui machli aur chips) is suitable for a keto, pescatarian diet and supports neutral mood."
Tomato fish,"Keto, Mediterranean, Pescatarian",Stressed,Seafood / Shellfish,Breakfast,"Tomato fish is suitable for a keto, pescatarian diet and supports neutral mood."
Baked fish with cheese sauce,"Keto, Mediterranean, Pescatarian, Vegetarian",Craving,"Lactose / Dairy, Seafood / Shellfish",Dinner,"Baked fish with cheese sauce is suitable for a keto, vegetarian, pescatarian diet and supports neutral mood."
Fish tikka,"Keto, Mediterranean, Pescatarian",Energetic & Calm,Seafood / Shellfish,Breakfast,"Fish tikka is suitable for a keto, pescatarian diet and supports neutral mood."
Tandoori fish,"Keto, Mediterranean, Pescatarian",Stressed,Seafood / Shellfish,Lunch,"Tandoori fish is suitable for a keto, pescatarian diet and supports neutral mood."
"Paneer, apple and pineapple salad","Keto, Vegetarian",Energetic & Calm,Lactose / Dairy,Dinner,"Paneer, apple and pineapple salad is suitable for a keto, vegetarian diet and supports neutral mood."
Russian salad,"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Russian salad is suitable for a general diet and supports neutral mood.
Pasta salad,"Vegan, Vegetarian",Depressed Mood,None,Dinner,Pasta salad is suitable for a general diet and supports neutral mood.
Deviled egg,Keto,Energetic & Calm,Eggs,Breakfast,Deviled egg is suitable for a keto diet and supports neutral mood.
Hawain salad,"Vegan, Vegetarian",Depressed Mood,None,Dinner,Hawain salad is suitable for a general diet and supports neutral mood.
Mixed pulse and vegetable salad,Vegan,Balanced Mood,None,Snack,Mixed pulse and vegetable salad is suitable for a vegan diet and supports balanced mood.
Sprouted moong salad ,"Vegan, Vegetarian",Craving,None,Snack,Sprouted moong salad  is suitable for a general diet and supports neutral mood.
Tossed salad,"Vegan, Vegetarian",Craving,None,Breakfast,Tossed salad is suitable for a general diet and supports neutral mood.
Mixed vegetable salad with curd sauce,"Vegan, Vegetarian","Depressed Mood, Balanced Mood",Lactose / Dairy,Lunch,"Mixed vegetable salad with curd sauce is suitable for a vegan, vegetarian diet and supports depressed mood, balanced mood."
Potato salad (Aloo ka salaad),Vegetarian,Depressed Mood,None,Dinner,Potato salad (Aloo ka salaad) is suitable for a vegetarian diet and supports neutral mood.
Waldroff salad,"Vegan, Vegetarian",Stressed,None,Dinner,Waldroff salad is suitable for a general diet and supports neutral mood.
Coleslaw,"Vegan, Vegetarian",Happy,None,Dinner,Coleslaw is suitable for a general diet and supports neutral mood.
Fruit salad (Phalon ka salaad),Vegan,Depressed Mood,None,Dinner,Fruit salad (Phalon ka salaad) is suitable for a vegan diet and supports depressed mood.
Tomato onion raita (Tamatar aur pyaaz ka raita),"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Tomato onion raita (Tamatar aur pyaaz ka raita) is suitable for a general diet and supports neutral mood.
Peanut raita (Mungfali ka raita),"Vegan, Vegetarian",Depressed Mood,Nuts,Breakfast,Peanut raita (Mungfali ka raita) is suitable for a general diet and supports neutral mood.
Sprouted moong raita ,"Vegan, Vegetarian",Stressed,None,Lunch,Sprouted moong raita  is suitable for a general diet and supports neutral mood.
Bottle gourd raita (Ghiya/Lauki ka raita),"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Bottle gourd raita (Ghiya/Lauki ka raita) is suitable for a general diet and supports neutral mood.
Cucumber raita (Kheere ka raita),"Vegan, Vegetarian",Happy,None,Dinner,Cucumber raita (Kheere ka raita) is suitable for a general diet and supports happy.
Carrot and spinach raita (Gajar aur palak ka raita),"Vegan, Vegetarian",Stressed,None,Breakfast,Carrot and spinach raita (Gajar aur palak ka raita) is suitable for a general diet and supports neutral mood.
Mint raita (Pudinay ka raita),"Vegan, Vegetarian",Craving,None,Dinner,Mint raita (Pudinay ka raita) is suitable for a general diet and supports neutral mood.
Potato raita (Aloo ka raita),Vegetarian,Stressed,None,Lunch,Potato raita (Aloo ka raita) is suitable for a vegetarian diet and supports neutral mood.
Boondi raita,"Vegan, Vegetarian",Craving,None,Dinner,Boondi raita is suitable for a general diet and supports neutral mood.
Sweet raita (Meetha raita),"Vegan, Vegetarian",Happy,None,Breakfast,Sweet raita (Meetha raita) is suitable for a general diet and supports neutral mood.
Dahi vadas/Dahi bhalla,"Vegan, Vegetarian",Stressed,None,Lunch,Dahi vadas/Dahi bhalla is suitable for a general diet and supports neutral mood.
Gunjia,"Vegan, Vegetarian",Energetic & Calm,None,Lunch,Gunjia is suitable for a general diet and supports neutral mood.
Saunth/Sonth chutney with tamarind/imli,"Vegan, Vegetarian",Happy,None,Snack,Saunth/Sonth chutney with tamarind/imli is suitable for a general diet and supports neutral mood.
Rice kheer (Chawal ki kheer),Vegan,"Happy, Balanced Mood",None,Lunch,"Rice kheer (Chawal ki kheer) is suitable for a vegan diet and supports happy, balanced mood."
Makhana kheer,"Vegan, Vegetarian",Happy,None,Snack,Makhana kheer is suitable for a general diet and supports happy.
Vermicelli kheer (Semiya/Seviyan ki kheer),"Vegan, Vegetarian",Happy,None,Lunch,Vermicelli kheer (Semiya/Seviyan ki kheer) is suitable for a general diet and supports happy.
Semolina kheer (Suji/Rava kheer),"Vegan, Vegetarian",Happy,None,Lunch,Semolina kheer (Suji/Rava kheer) is suitable for a general diet and supports happy.
Paneer kheer,"Keto, Vegetarian",Happy,Lactose / Dairy,Lunch,"Paneer kheer is suitable for a keto, vegetarian diet and supports happy."
Cabbage kheer (Pattagobhi ki kheer),"Vegan, Vegetarian",Happy,None,Dinner,Cabbage kheer (Pattagobhi ki kheer) is suitable for a general diet and supports happy.
Carrot kheer (Gajar ki kheer),"Vegan, Vegetarian",Happy,None,Dinner,Carrot kheer (Gajar ki kheer) is suitable for a general diet and supports happy.
Cauliflower kheer (Phoolgobhi ki kheer),"Vegan, Vegetarian",Happy,None,Dinner,Cauliflower kheer (Phoolgobhi ki kheer) is suitable for a general diet and supports happy.
Moong dal kheer,"Vegan, Vegetarian","Happy, Balanced Mood",None,"Lunch, Dinner","Moong dal kheer is suitable for a vegan, vegetarian diet and supports happy, balanced mood."
Phirni,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Phirni is suitable for a general diet and supports neutral mood.
Semolina halwa (Suji ka halwa),"Vegan, Vegetarian",Happy,None,Dinner,Semolina halwa (Suji ka halwa) is suitable for a general diet and supports happy.
Shahi suji halwa,"Vegan, Vegetarian",Happy,None,Breakfast,Shahi suji halwa is suitable for a general diet and supports happy.
Carrot halwa (Gajar ka halwa),"Vegan, Vegetarian",Happy,None,Lunch,Carrot halwa (Gajar ka halwa) is suitable for a general diet and supports happy.
Egg halwa (Ande ka halwa),Keto,Happy,Eggs,Lunch,Egg halwa (Ande ka halwa) is suitable for a keto diet and supports happy.
Potato halwa (Aloo ka halwa),Vegetarian,Happy,None,Dinner,Potato halwa (Aloo ka halwa) is suitable for a vegetarian diet and supports happy.
Pumpkin halwa (Kaddu ka halwa),"Vegan, Vegetarian",Happy,None,Snack,Pumpkin halwa (Kaddu ka halwa) is suitable for a general diet and supports happy.
Moong dal halwa,"Vegan, Vegetarian","Happy, Balanced Mood",None,"Lunch, Dinner","Moong dal halwa is suitable for a vegan, vegetarian diet and supports happy, balanced mood."
Caramel custard (steamed),"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Caramel custard (steamed) is suitable for a general diet and supports energetic & calm.
Baked custard,"Vegan, Vegetarian",Energetic & Calm,None,Snack,Baked custard is suitable for a general diet and supports neutral mood.
Soft Custard (stirred),"Vegan, Vegetarian",Energetic & Calm,None,Lunch,Soft Custard (stirred) is suitable for a general diet and supports neutral mood.
Chocolate ice cream,"Keto, Vegan, Vegetarian",Happy,None,Snack,Chocolate ice cream is suitable for a general diet and supports happy.
Mango ice cream,"Keto, Vegan, Vegetarian","Happy, Depressed Mood",None,Snack,"Mango ice cream is suitable for a general diet and supports happy, depressed mood."
Fruit Ice cream (Phalon ka Ice cream),Vegan,"Happy, Depressed Mood",None,Snack,"Fruit Ice cream (Phalon ka Ice cream) is suitable for a vegan diet and supports happy, depressed mood."
Caramel ice cream,"Keto, Vegan, Vegetarian",Happy,None,Snack,Caramel ice cream is suitable for a general diet and supports happy.
Lemon souffle,"Vegan, Vegetarian",Energetic & Calm,None,Lunch,Lemon souffle is suitable for a general diet and supports neutral mood.
Orange souffle,"Vegan, Vegetarian",Energetic & Calm,None,Snack,Orange souffle is suitable for a general diet and supports neutral mood.
Vanilla souffle,"Vegan, Vegetarian",Depressed Mood,None,Snack,Vanilla souffle is suitable for a general diet and supports neutral mood.
Chocolate souffle,"Vegan, Vegetarian",Energetic & Calm,None,Lunch,Chocolate souffle is suitable for a general diet and supports neutral mood.
Pineapple souffle ,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Pineapple souffle  is suitable for a general diet and supports neutral mood.
Apple mousse,"Vegan, Vegetarian",Energetic & Calm,None,Lunch,Apple mousse is suitable for a general diet and supports neutral mood.
Rich chocolate mousse,"Vegan, Vegetarian",Happy,None,Snack,Rich chocolate mousse is suitable for a general diet and supports neutral mood.
Mango mousse,"Vegan, Vegetarian",Depressed Mood,None,Dinner,Mango mousse is suitable for a general diet and supports depressed mood.
Orange and pineapple cream,"Keto, Vegan, Vegetarian",Happy,None,Dinner,Orange and pineapple cream is suitable for a general diet and supports neutral mood.
Charlotte rousse,"Vegan, Vegetarian",Energetic & Calm,None,Snack,Charlotte rousse is suitable for a general diet and supports neutral mood.
Triffle pudding,"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Triffle pudding is suitable for a general diet and supports neutral mood.
Snow flakes pudding,"Vegan, Vegetarian",Craving,None,Dinner,Snow flakes pudding is suitable for a general diet and supports neutral mood.
Kulfi,"Vegan, Vegetarian",Happy,None,Snack,Kulfi is suitable for a general diet and supports neutral mood.
Steamed orange pudding,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Steamed orange pudding is suitable for a general diet and supports energetic & calm.
Meringue and rice pudding,Vegan,Balanced Mood,None,Lunch,Meringue and rice pudding is suitable for a vegan diet and supports balanced mood.
Cheese pudding,Vegetarian,Happy,Lactose / Dairy,Dinner,Cheese pudding is suitable for a vegetarian diet and supports neutral mood.
Chocolate pudding,"Vegan, Vegetarian",Stressed,None,Snack,Chocolate pudding is suitable for a general diet and supports neutral mood.
Bread and butter pudding ,Keto,Craving,"Gluten, Lactose / Dairy",Snack,Bread and butter pudding  is suitable for a keto diet and supports neutral mood.
Queen of pudding,"Vegan, Vegetarian",Happy,None,Dinner,Queen of pudding is suitable for a general diet and supports neutral mood.
Pineapple upside down pudding,"Vegan, Vegetarian",Depressed Mood,None,Lunch,Pineapple upside down pudding is suitable for a general diet and supports neutral mood.
Date and nut pie,"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Date and nut pie is suitable for a general diet and supports neutral mood.
Stewed apple with custard,"Vegan, Vegetarian",Craving,None,Lunch,Stewed apple with custard is suitable for a general diet and supports neutral mood.
Apple snowballs,"Vegan, Vegetarian",Depressed Mood,None,Dinner,Apple snowballs is suitable for a general diet and supports neutral mood.
Hot orange souffle,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Hot orange souffle is suitable for a general diet and supports neutral mood.
Hot chocolate souffle,"Vegan, Vegetarian",Stressed,None,Snack,Hot chocolate souffle is suitable for a general diet and supports neutral mood.
Hot vanilla souffle,"Vegan, Vegetarian",Stressed,None,Snack,Hot vanilla souffle is suitable for a general diet and supports neutral mood.
Plain burfi (Burfi),"Vegan, Vegetarian",Craving,None,Breakfast,Plain burfi (Burfi) is suitable for a general diet and supports neutral mood.
Coconut burfi (Nariyal ki burfi),"Vegan, Vegetarian",Craving,None,Dinner,Coconut burfi (Nariyal ki burfi) is suitable for a general diet and supports neutral mood.
Bottle gourd burfi (Ghiya/Lauki burfi),"Vegan, Vegetarian",Depressed Mood,None,Lunch,Bottle gourd burfi (Ghiya/Lauki burfi) is suitable for a general diet and supports neutral mood.
Chocolate burfi,"Vegan, Vegetarian",Stressed,None,Lunch,Chocolate burfi is suitable for a general diet and supports neutral mood.
Cashewnut burfi (Kaju burfi/Kaju katli),"Vegan, Vegetarian",Happy,Nuts,Dinner,Cashewnut burfi (Kaju burfi/Kaju katli) is suitable for a general diet and supports neutral mood.
Gram flour burfi (Besan burfi),"Vegan, Vegetarian",Happy,None,Snack,Gram flour burfi (Besan burfi) is suitable for a general diet and supports neutral mood.
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),"Vegan, Vegetarian",Happy,Nuts,Snack,Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ) is suitable for a general diet and supports happy.
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),"Vegan, Vegetarian",Happy,Nuts,Snack,Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ) is suitable for a general diet and supports happy.
Gram flour ladoo (Besan ladoo),"Vegan, Vegetarian",Happy,Nuts,Snack,Gram flour ladoo (Besan ladoo) is suitable for a general diet and supports happy.
Sesame ladoo (Til ke ladoo),"Vegan, Vegetarian",Happy,Nuts,Snack,Sesame ladoo (Til ke ladoo) is suitable for a general diet and supports happy.
Chenna murki,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Chenna murki is suitable for a general diet and supports neutral mood.
Milk cake,Vegetarian,Craving,Lactose / Dairy,Breakfast,Milk cake is suitable for a vegetarian diet and supports neutral mood.
Ghujia/Lavang latika,"Vegan, Vegetarian",Stressed,None,Breakfast,Ghujia/Lavang latika is suitable for a general diet and supports neutral mood.
Gulab Jamun with khoya,"Vegan, Vegetarian",Happy,None,Snack,Gulab Jamun with khoya is suitable for a general diet and supports happy.
Mal pua,"Vegan, Vegetarian",Depressed Mood,None,Snack,Mal pua is suitable for a general diet and supports neutral mood.
Shahi tukre,"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Shahi tukre is suitable for a general diet and supports neutral mood.
Potato pakora/pakoda (Aloo pakoda),Vegetarian,Energetic & Calm,None,Snack,Potato pakora/pakoda (Aloo pakoda) is suitable for a vegetarian diet and supports neutral mood.
Onion pakora/pakoda (Pyaaz ke pakode),"Vegan, Vegetarian",Energetic & Calm,None,Snack,Onion pakora/pakoda (Pyaaz ke pakode) is suitable for a general diet and supports neutral mood.
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),"Vegan, Vegetarian",Depressed Mood,None,Snack,Cauliflower pakora/pakoda (Phoolgobhi ke pakode) is suitable for a general diet and supports neutral mood.
Mixed vegetable pakora/pakoda,Vegan,Balanced Mood,None,Snack,Mixed vegetable pakora/pakoda is suitable for a vegan diet and supports balanced mood.
Spinach pakora/pakoda (Palak pakoda),"Vegan, Vegetarian",Stressed,None,Snack,Spinach pakora/pakoda (Palak pakoda) is suitable for a general diet and supports neutral mood.
Methi pakora/pakoda (Methi ke pakode),"Vegan, Vegetarian",Happy,None,Snack,Methi pakora/pakoda (Methi ke pakode) is suitable for a general diet and supports neutral mood.
Egg pakora/pakoda (Ande ke pakode),Keto,Depressed Mood,Eggs,Snack,Egg pakora/pakoda (Ande ke pakode) is suitable for a keto diet and supports neutral mood.
Bread pakora/pakoda,"Vegan, Vegetarian",Energetic & Calm,Gluten,Snack,Bread pakora/pakoda is suitable for a general diet and supports neutral mood.
Paneer pakora/pakoda,"Keto, Vegetarian",Energetic & Calm,Lactose / Dairy,Snack,"Paneer pakora/pakoda is suitable for a keto, vegetarian diet and supports neutral mood."
Potato bonda (Aloo bonda),Vegetarian,Energetic & Calm,None,Snack,Potato bonda (Aloo bonda) is suitable for a vegetarian diet and supports neutral mood.
Potato samosa (Aloo ka samosa),Vegetarian,Happy,None,Snack,Potato samosa (Aloo ka samosa) is suitable for a vegetarian diet and supports neutral mood.
Minced meat samosa (Keema ka samosa),Paleo,Craving,None,Snack,Minced meat samosa (Keema ka samosa) is suitable for a general diet and supports neutral mood.
Paneer and pea samosa (Paneer matar ka samosa),"Keto, Vegetarian",Craving,Lactose / Dairy,Snack,"Paneer and pea samosa (Paneer matar ka samosa) is suitable for a keto, vegetarian diet and supports neutral mood."
Mathri,"Vegan, Vegetarian",Craving,None,Breakfast,Mathri is suitable for a general diet and supports neutral mood.
Khasta kachori,"Vegan, Vegetarian",Craving,None,Snack,Khasta kachori is suitable for a general diet and supports neutral mood.
Vegetable cutlet,Vegan,Balanced Mood,None,Breakfast,Vegetable cutlet is suitable for a vegan diet and supports balanced mood.
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),"Vegan, Vegetarian","Balanced Mood, Depressed Mood",None,"Breakfast, Lunch","Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet) is suitable for a vegan, vegetarian diet and supports balanced mood, neutral mood."
Peanut cutlet (Mungfali ke cutlet),"Vegan, Vegetarian",Stressed,Nuts,Snack,Peanut cutlet (Mungfali ke cutlet) is suitable for a general diet and supports neutral mood.
Fish cutlet (Machli ka cutlet),"Keto, Mediterranean, Pescatarian",Happy,Seafood / Shellfish,Dinner,"Fish cutlet (Machli ka cutlet) is suitable for a keto, pescatarian diet and supports neutral mood."
Paneer potato cutlet (Paneer aloo cutlet),"Keto, Vegetarian",Energetic & Calm,Lactose / Dairy,Snack,"Paneer potato cutlet (Paneer aloo cutlet) is suitable for a keto, vegetarian diet and supports neutral mood."
Spinach chickpeas cutlet (Palak channa dal cutlet),"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Spinach chickpeas cutlet (Palak channa dal cutlet) is suitable for a vegan, vegetarian diet and supports balanced mood."
Cheese toast,Vegetarian,Happy,Lactose / Dairy,Dinner,Cheese toast is suitable for a vegetarian diet and supports neutral mood.
Vegetable burger,Vegan,Balanced Mood,None,Lunch,Vegetable burger is suitable for a vegan diet and supports balanced mood.
Cheese pizza,Vegetarian,Happy,Lactose / Dairy,Lunch,Cheese pizza is suitable for a vegetarian diet and supports neutral mood.
Vegetable seekh kebab,Vegan,Balanced Mood,None,Dinner,Vegetable seekh kebab is suitable for a vegan diet and supports balanced mood.
Masala vada,"Vegan, Vegetarian",Depressed Mood,None,Lunch,Masala vada is suitable for a general diet and supports neutral mood.
Peanut sago vada (Sabudana mungfali vada),"Vegan, Vegetarian",Depressed Mood,Nuts,Lunch,Peanut sago vada (Sabudana mungfali vada) is suitable for a general diet and supports neutral mood.
Vegeterian scotch egg,Keto,Craving,Eggs,Breakfast,Vegeterian scotch egg is suitable for a keto diet and supports neutral mood.
Paneer shaslik/tikka,"Keto, Vegetarian",Depressed Mood,Lactose / Dairy,Breakfast,"Paneer shaslik/tikka is suitable for a keto, vegetarian diet and supports neutral mood."
Peanut brittle (Moongfali ki chikki),"Vegan, Vegetarian",Craving,Nuts,Dinner,Peanut brittle (Moongfali ki chikki) is suitable for a general diet and supports neutral mood.
Spring roll,"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Spring roll is suitable for a general diet and supports neutral mood.
Dry mango chutney (Sookhe aam ki chutney),"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Dry mango chutney (Sookhe aam ki chutney) is suitable for a general diet and supports depressed mood.
Peanut chutney (Mungfali ki chutney),"Vegan, Vegetarian",Stressed,Nuts,Breakfast,Peanut chutney (Mungfali ki chutney) is suitable for a general diet and supports neutral mood.
Coconut chutney (Nariyal ki chutney),"Vegan, Vegetarian",Energetic & Calm,None,Lunch,Coconut chutney (Nariyal ki chutney) is suitable for a general diet and supports neutral mood.
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),"Vegan, Vegetarian",Happy,None,Lunch,Mint and coriander chutney (Pudinay aur dhaniye ki chutney) is suitable for a general diet and supports neutral mood.
Custard tart,"Vegan, Vegetarian",Energetic & Calm,None,Lunch,Custard tart is suitable for a general diet and supports neutral mood.
Lemon tart,"Vegan, Vegetarian",Happy,None,Lunch,Lemon tart is suitable for a general diet and supports neutral mood.
Jam tart,"Vegan, Vegetarian",Stressed,None,Dinner,Jam tart is suitable for a general diet and supports neutral mood.
Orange cream tart,"Keto, Vegan, Vegetarian",Craving,None,Lunch,Orange cream tart is suitable for a general diet and supports neutral mood.
Pineapple tart,"Vegan, Vegetarian",Stressed,None,Lunch,Pineapple tart is suitable for a general diet and supports neutral mood.
Cheese and mushroom tart,Vegetarian,Stressed,Lactose / Dairy,Snack,Cheese and mushroom tart is suitable for a vegetarian diet and supports neutral mood.
Cottage cheese pie,Vegetarian,Craving,Lactose / Dairy,Snack,Cottage cheese pie is suitable for a vegetarian diet and supports neutral mood.
Minced meat pie,Paleo,Stressed,None,Lunch,Minced meat pie is suitable for a general diet and supports neutral mood.
Apple cinnamon pie,"Vegan, Vegetarian",Stressed,None,Dinner,Apple cinnamon pie is suitable for a general diet and supports neutral mood.
Lemon meringue pie,"Vegan, Vegetarian",Stressed,None,Dinner,Lemon meringue pie is suitable for a general diet and supports neutral mood.
Chocolate meringue pie,"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Chocolate meringue pie is suitable for a general diet and supports neutral mood.
Cream puffs,"Keto, Vegan, Vegetarian",Stressed,None,Snack,Cream puffs is suitable for a general diet and supports neutral mood.
